"","I_D","FLAG_TSUNAMI","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LATITUDE","LONGITUDE","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION","CONTINENT","LOCATION"
"1",9954,"Tsu",1700,1,27,5,0,NA,NA,9,NA,9,NA,NA,NA,NA,NA,"USA","OR",45,-125,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"Americas","USA: CASCADIA SUBDUCTION ZONE"
"2",6997,"Tsu",1700,4,16,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,"JAPAN","",34.2,129.3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,"Asia","JAPAN:   TSUSHIMA, NAGASAKI PREFECTURE"
"3",5990,"Tsu",1700,9,12,NA,NA,NA,NA,6.5,NA,6.5,NA,NA,NA,NA,NA,"SOUTH KOREA","",36.5,126.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","SOUTH KOREA:  CHUNGCHONG"
"4",1151,"",1701,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAITI","",18.3,-72.4,90,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","HAITI:  LEOGANE,PETIT GOAVE"
"5",1152,"",1701,12,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEXICO","",16.5,-97,150,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","MEXICO:  OAXACA"
"6",1153,"",1702,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"ITALY","",41.1,14.5,130,150,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","ITALY:  BENEVENTO"
"7",1154,"",1702,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARTINIQUE","",14.4,-61,90,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","MARTINIQUE"
"8",1157,"",1703,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"ITALY","",42.78,13.1,130,40000,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,40000,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,"Europe","ITALY:  CENTRAL APENNINO, NORCIA, L'AQUILA, PERUGIA"
"9",1161,"Tsu",1703,2,2,1,11,5,NA,6.7,NA,6.7,NA,NA,NA,NA,11,"ITALY","",42.467,13.2,130,10000,4,NA,NA,NA,NA,NA,3,NA,3,NA,NA,10000,4,NA,NA,NA,NA,NA,3,NA,3,NA,NA,"Europe","ITALY:  L'AQUILA (AQUILA)"
"10",1162,"",1703,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRAN","",26.6,56.2,140,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","IRAN:  QESHM ISLAND (QISHM ISLAND)"
"11",9996,"Tsu",1703,7,2,NA,NA,NA,NA,3.2,NA,3.2,NA,NA,NA,NA,4,"ITALY","",44.4,8.917,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","ITALY:  GENOA, CARMAGNOLE"
"12",1163,"Tsu",1703,12,30,17,NA,NA,NA,8.2,NA,8.2,NA,NA,NA,8.2,NA,"JAPAN","",35,140,30,5233,4,NA,NA,NA,NA,NA,4,20162,4,NA,NA,5233,4,NA,NA,NA,NA,NA,4,20162,4,NA,NA,"Asia","JAPAN:  OFF SW BOSO PENINSULA"
"13",1155,"",1703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRAN","",26.4,55.5,140,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","IRAN:  HENGAM ISLAND,KISH ISLAND"
"14",1166,"",1704,5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAPAN","",41,139.5,30,58,2,NA,NA,NA,NA,NA,3,1314,4,NA,NA,58,2,NA,NA,NA,NA,NA,3,1314,4,NA,NA,"Asia","JAPAN:  N OF NOSIRO"
"15",1167,"",1704,9,18,NA,NA,NA,NA,5.5,NA,5.5,NA,NA,NA,NA,7,"CHINA","",38,116.5,30,NA,3,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,2,NA,NA,"Asia","CHINA:  HEBEI PROVINCE:  DONGGUANG, CANGXIAN"
"16",7920,"",1704,9,28,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,8,"CHINA","",34.9,106.8,30,NA,4,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,3,NA,NA,"Asia","CHINA:  SHAANXI PROVINCE:  LONGXIAN"
"17",1168,"",1704,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"GREECE","",38.8,20.8,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","GREECE"
"18",1169,"Tsu",1705,11,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHILE","",-18.6,-70.2,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Americas","CHILE:  CHILE:  ARICA"
"19",1170,"",1706,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"ICELAND","",63.9,-21.2,120,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","ICELAND:  SELFOSS"
"20",1172,"",1706,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"ITALY","",41.6,14.6,130,1000,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","ITALY:  SULMONA TO CAMPOBASSO,  ABRUZZI"
"21",1174,"",1707,9,17,16,48,NA,10,5.8,NA,NA,NA,NA,NA,5.8,10,"PERU","",-13,-72,160,160,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","PERU:  CUZCO"
"22",1176,"Tsu",1707,10,28,4,NA,NA,NA,8.4,NA,8.4,NA,NA,NA,NA,NA,"JAPAN","",34.1,137.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,4,NA,NA,NA,NA,NA,3,10000,4,NA,NA,"Asia","JAPAN:  ENSHUNADA"
"23",1178,"Tsu",1707,10,28,5,NA,NA,NA,8.4,NA,8.4,NA,NA,NA,NA,NA,"JAPAN","",33.2,134.8,30,5000,4,NA,NA,NA,NA,NA,4,59000,4,NA,NA,5000,4,NA,NA,NA,NA,NA,4,77000,4,NA,NA,"Asia","JAPAN:  NANKAIDO"
"24",1173,"",1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TURKEY","",40.4,43,140,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","TURKEY:  KARS"
"25",6880,"",1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EL SALVADOR","",NA,NA,100,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Americas","EL SALVADOR:  SAN SALVADOR"
"26",5992,"Tsu",1708,2,13,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,"JAPAN","",34,137,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Asia","TOKAIDO, JAPAN"
"27",1179,"",1708,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"FRANCE","",43.8,5.8,120,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","FRANCE:  MANOSQUE"
"28",5993,"Tsu",1708,11,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDONESIA","",-3.69,128.15,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","INDONESIA:  BANDA SEA"
"29",1180,"",1709,10,14,NA,NA,NA,NA,7.5,NA,7.5,NA,NA,NA,NA,10,"CHINA","",37.4,105.3,30,2032,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,2032,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,"Asia","CHINA:  NINGXIA"
"30",5994,"Tsu",1710,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDONESIA","",-4.53,129.9,170,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,"Asia","INDONESIA:  BANDANEIRA"
"31",8100,"Tsu",1710,4,16,NA,NA,NA,NA,5.5,NA,5.5,NA,NA,NA,NA,7,"CHINA","",27.8,111.3,30,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,"Asia","CHINA:  HUNAN PROVINCE"
"32",1181,"",1711,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAPAN","",35.5,133,30,4,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","JAPAN:  MIMASAKA"
"33",1182,"",1711,8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEXICO","",19.2,-103.7,150,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"Americas","MEXICO:  MEXICO CITY, COLIMA, GUADALAJARA"
"34",6021,"Tsu",1711,9,5,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,"INDONESIA","",-4,129,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,"Asia","INDONESIA:  BANDA SEA"
"35",1184,"",1711,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"FRANCE","",47,0.1,120,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","FRANCE:  MONCONTOUR,LOUDUN"
"36",5995,"Tsu",1711,12,20,NA,NA,NA,NA,6.7,NA,6.7,NA,NA,NA,NA,NA,"JAPAN","",34.3,134,30,1000,3,NA,NA,NA,NA,NA,3,1713,4,NA,NA,1000,3,NA,NA,NA,NA,NA,3,1713,4,NA,NA,"Asia","SEIONAIKAI, JAPAN"
"37",1185,"",1713,2,26,NA,NA,NA,NA,6.8,NA,6.8,NA,NA,NA,NA,9,"CHINA","",25.4,103.2,30,2100,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,2100,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,"Asia","CHINA:  YUNNAN PROVINCE:  S OF XUNDIAN"
"38",1186,"",1713,9,4,NA,NA,NA,NA,6.5,NA,6.5,NA,NA,NA,NA,8,"CHINA","",32,103.7,30,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Asia","CHINA:  SICHUAN PROVINCE:  DIEXI, MAOXIAN"
"39",1187,"",1714,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAPAN","",36.5,138,30,56,2,NA,NA,NA,NA,NA,1,300,3,NA,NA,56,2,NA,NA,NA,NA,NA,1,300,3,NA,NA,"Asia","JAPAN:  OOMATI"
"40",1188,"",1714,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEXICO","",17,-96.3,150,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","MEXICO:  OAXACA"
"41",1189,"",1714,7,27,NA,NA,NA,NA,6.3,NA,6.3,NA,NA,NA,NA,8,"GREECE","",38.2,21.7,130,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,"Europe","GREECE:  PATRAS"
"42",7706,"Tsu",1714,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYANMAR (BURMA)","",21.85,95.967,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","MYNAMAR (BURMA):  AVA (INNWA)"
"43",1190,"",1714,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"GREECE","",38.25,21.73,130,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Europe","GREECE:  PATRAS"
"44",1192,"",1715,3,8,NA,NA,NA,NA,6.6,NA,6.6,NA,NA,NA,NA,NA,"TURKEY","",38.7,43.9,140,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,"Europe","TURKEY:  MAHMATAN, VAN"
"45",5996,"Tsu",1715,8,23,0,NA,NA,80,7.5,NA,7.5,NA,NA,NA,NA,7,"PERU","",-17.3,-70.8,160,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Americas","PERU:  MOQUEGUA, AREQUIPA; CHILE:  ARICA"
"46",6032,"Tsu",1715,12,29,NA,NA,NA,NA,6.6,NA,6.6,NA,NA,NA,NA,NA,"JAPAN","",33.3,131.7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","SEIKAIDO, JAPAN"
"47",1191,"",1715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TURKEY","",38.3,43.2,140,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","TURKEY:  VAN,ERCIS"
"48",1197,"",1716,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGERIA","",36.8,3,15,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Africa","ALGERIA:  ALGIERS"
"49",1198,"",1716,2,6,NA,NA,NA,40,8.8,NA,NA,NA,NA,NA,8.8,9,"PERU","",-17.2,-71.2,160,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","PERU:  PUEBLO DE TORATA IN TACNA"
"50",1201,"",1716,2,11,1,NA,NA,50,8.6,NA,NA,NA,NA,NA,8.6,10,"PERU","",-13.7,-76,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","PERU"
"51",1202,"",1716,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEXICO","",29,-114,150,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","MEXICO:  BAJA CALIFORNIA"
"52",1203,"",1716,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGERIA","",36.8,3,15,20000,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,20000,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Africa","ALGERIA:  ALGIERS"
"53",1205,"Tsu",1716,9,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"PHILIPPINES","",14.002,120.993,170,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,3,NA,NA,"Asia","PHILIPPINES:  TAAL, MANILA, RIZAL, LAGUNA, CAVITE"
"54",1196,"",1716,NA,NA,NA,NA,NA,30,7.5,NA,7.5,NA,NA,NA,7.5,9,"CHINA","",41.2,80.3,40,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"Asia","CHINA:  S XINJIANG:  AKSU, BALKHASH"
"55",1207,"",1717,5,13,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,7.6,NA,"JAPAN","",39,142.7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","JAPAN:  HANAMAKI"
"56",1208,"",1717,7,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"CROATIA","",44.1,15.2,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","BALKANS NW:  CROATIA"
"57",1210,"",1718,6,19,NA,NA,NA,NA,7.5,NA,7.5,NA,NA,NA,NA,10,"CHINA","",35,105.2,30,73000,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,73000,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,"Asia","CHINA:  GANSU PROVINCE"
"58",1212,"",1719,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"TURKEY","",40.8,29.4,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","TURKEY"
"59",1211,"",1719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOROCCO","",31.4,-8,15,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Africa","MOROCCO:  MARRAKECH"
"60",6881,"",1719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EL SALVADOR","",NA,NA,100,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Americas","EL SALVADOR:  SAN SALVADOR"
"61",1213,"",1720,7,12,NA,NA,NA,NA,6.8,NA,6.8,NA,NA,NA,NA,9,"CHINA","",40.4,115.5,30,NA,3,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,"Asia","CHINA:  HEBEI PROVINCE"
"62",1215,"",1720,7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIA","",29,77.5,60,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","INDIA:  DELHI"
"63",7962,"",1720,10,31,NA,NA,NA,NA,5.5,NA,5.5,NA,NA,NA,NA,7,"TAIWAN","",20.3,120.3,30,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Asia","TAIWAN:  TAINAN"
"64",1219,"",1720,12,20,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"SWITZERLAND","",47.4,9.5,120,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","SWITZERLAND"
"65",7921,"",1721,1,5,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,8,"TAIWAN","",23,120.3,30,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,"Asia","TAIWAN:  TAINAN"
"66",1220,"",1721,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"CROATIA","",45.3,14.4,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","BALKANS NW:  CROATIA"
"67",1221,"",1721,1,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHILIPPINES","",18,121.5,170,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","PHILIPPINES:  NE LUZON:  CAGAYAN VALLEY"
"68",1222,"",1721,4,26,3,NA,NA,NA,7.7,NA,7.7,NA,NA,NA,NA,NA,"IRAN","",37.9,46.7,140,40000,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,40000,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,"Asia","IRAN:  TABRIZ"
"69",8117,"Tsu",1721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAIWAN","",23,120.2,30,2000,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,2000,4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,"Asia","TAIWAN:  TAINAN"
"70",1225,"",1722,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"GREECE","",38.7,20.6,130,NA,3,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,"Europe","GREECE:  LEFKADA:  DAMILIANI, ATHANI, HAGIOS PETROS"
"71",9533,"Tsu",1722,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDONESIA","",-6.174,106.829,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","INDONESIA:  JAVA: DJAKARTA (JAKARTA)"
"72",1227,"Tsu",1722,12,27,16,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"PORTUGAL","",37.2,-7.6,130,NA,3,NA,NA,NA,NA,NA,2,27,1,27,1,NA,3,NA,NA,NA,NA,NA,2,27,1,NA,NA,"Europe","PORTUGAL:  TAVIRA, ALGARVE"
"73",1228,"Tsu",1723,2,18,2,NA,NA,NA,7,NA,7,NA,NA,NA,NA,10,"GREECE","",38.5,20.5,130,NA,1,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3,NA,NA,"Europe","GREECE:  LEFKADA"
"74",1230,"",1725,1,7,4,25,NA,60,7.7,NA,7.7,NA,NA,NA,NA,9,"PERU","",-9,-79,160,1500,4,NA,NA,NA,NA,NA,3,NA,3,NA,NA,1500,4,NA,NA,NA,NA,NA,3,NA,3,NA,NA,"Americas","PERU: TRUJILLO, ANCASH, LIMA"
"75",1234,"",1725,1,8,13,0,NA,3,7.6,NA,7.6,NA,NA,NA,NA,7,"PERU","",-16.4,-70.8,160,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"Americas","PERU:  AREQUIPA"
"76",1233,"",1725,1,8,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,8,"CHINA","",25.1,103.1,30,614,3,NA,NA,184,3,NA,3,NA,3,NA,NA,614,3,NA,NA,184,3,NA,3,NA,3,NA,NA,"Asia","CHINA:  YUNNAN PROVINCE:   SONGMING, YILIANG"
"77",1235,"",1725,2,1,11,NA,NA,50,8.2,NA,NA,NA,NA,NA,8.2,11,"RUSSIA","",56.5,118.5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia","RUSSIA:  E OF LAKE BAYKAL"
"78",6022,"Tsu",1725,3,27,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,7,"PERU","",-16.6,-72.7,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Americas","PERU:  CALLAO"
"79",7922,"",1725,8,2,NA,NA,NA,NA,5.5,NA,5.5,NA,NA,NA,NA,7,"CHINA","",30.1,101.9,30,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Asia","CHINA:  SICHUAN PROVINCE:  KANGDING"
"80",5997,"Tsu",1726,4,1,NA,NA,NA,NA,6.6,NA,6.6,NA,NA,NA,NA,NA,"JAPAN","",36.3,136,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,2,NA,NA,"Asia","JAPAN:  KATSUYAMA"
"81",1237,"",1726,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"ITALY","",38.1,13.35,130,250,3,NA,NA,NA,NA,NA,3,1614,4,NA,NA,250,3,NA,NA,NA,NA,NA,3,1614,4,NA,NA,"Europe","ITALY:  PALERMO, MARSALA, MAZZARA"
