month	term	estimate	std.error	statistic	p.value
mar	(Intercept)	6.49005136964952	3.78740553491956	1.71358765514065	0.092560823020687
mar	wind	-0.429380447115445	0.719466349765933	-0.596804071872349	0.553227851063713
oct	(Intercept)	4.72169062933535	9.45685803715625	0.499287460040502	0.62591952073363
oct	wind	0.553846638920418	2.51972431909753	0.219804458258666	0.829437315782557
aug	(Intercept)	5.3023913015533	11.9694807513968	0.442992591882864	0.658297180052542
aug	wind	1.75867801637743	2.71843320468526	0.646945458636366	0.51848233029663
sep	(Intercept)	18.7306096356827	16.9185062135409	1.10710776703746	0.269811401075592
sep	wind	-0.221498377737245	4.36652051584884	-0.0507265171280631	0.95960299889429
apr	(Intercept)	-23.6410258780037	9.70853686295428	-2.43507607909621	0.0450834714292628
apr	wind	6.97117221195318	1.8828765155058	3.70240541774483	0.00763076575747664
jun	(Intercept)	10.6288333084678	10.5015945596939	1.01211613608302	0.327531112215425
jun	wind	-1.15775485411028	2.32808133664943	-0.49730000231715	0.626187699541263
jul	(Intercept)	-1.02538540143914	20.3000486363681	-0.0505114751105639	0.960049624371067
jul	wind	4.12252998197533	4.86853191597704	0.84677065964104	0.403827465186742
feb	(Intercept)	5.56084941549151	5.44976938042077	1.02038252030807	0.321066463697978
feb	wind	0.19018657377057	1.23972109607997	0.153410774707268	0.879781120572406
jan	(Intercept)	0	NA	NA	NA
jan	wind	0	NA	NA	NA
dec	(Intercept)	-3.96603268270542	10.5009066375157	-0.377684786619883	0.716856000947718
dec	wind	2.26256241488879	1.34878495578769	1.67748194786726	0.137348137994697
may	(Intercept)	209.502222222222	NA	NA	NA
may	wind	-42.7555555555555	NA	NA	NA
nov	(Intercept)	0	NA	NA	NA
